ページ数,追加文字列,削除文字列,文脈,分類カテゴリ,分類理由
11,また、ニホンジカの生息域の拡大や生息数の増加により、下層植生の衰退や裸地化等の森林生態系等への被害が深刻化しており、防災・減災等、森林の多面的機能が十分発揮されないことも懸念されている。,,鳥獣被害についても深刻化している。我が国において、クマ類による人身被害の発生件数は長期的に増加傾向にあり、2023年度は統計のある2006年度以降最も多く、また地域的には北日本を中心に多くなっている。クマ類の分布域は拡大する傾向を示しており、人間の生活圏にクマ類が侵入し、国民の安全・安心を脅かしている。また、ニホンジカの生息域の拡大や生息数の増加により、下層植生の衰退や裸地化等の森林生態系等への被害が深刻化しており、防災・減災等、森林の多面的機能が十分発揮されないことも懸念されている。この背景には、自然環境の変化や社会環境の変化など様々な要因が考えられる中、近年の少子高齢化・過疎化の進行により人による自然への働きかけが減少したこと等の土地利用の変化の影響があると考えられ、鳥獣の生息域と人間の活動域、その間の緩衝域のゾーニング等を考慮した土地利用や鳥獣管理の立て直しが急務となっている。,6,ニホンジカの影響に関する新たな情報が追加され、内容が変化したため。
12,（2020年）,,7IPBES「生物多様性と生態系サービスに関する地球規模評価報告書（政策決定者向け要約）」（2020年）,2,年号「2020年」が追加され、数値情報が更新されたため。
12,2022年度は87.8％（,は,8有機汚濁の代表的な水質指標であるBOD又はCODの環境基準の達成率は、2022年度は87.8％（2021年度は,5,削除された語句「は」は文の意味に影響を与えない軽微な変更です。
12,）///92.4///1///％///50.3///％（同53.6％,（2020///年度///88.8///％///93.1///5///％,88.3％）（2020年度88.8％であり、水域別では、河川92.493.1％（同93.1％5％）、湖沼50.3％（同53.6％,2,数値情報（割合、統計値）の修正・更新が行われたため。
12,79.8///％（同78.6％///の///2022///50.0///75.7,53.6///％（同49.7％///78.6///％（同80.7％///2021///56.3///69.6,53.6％（同49.7％）、海域79.8％（同78.6％78.6％（同80.7％）となり、閉鎖性海域の海域別のCODの環境基準の達成率は、20222021年度は、東京湾は68.4％、伊勢湾は50.056.3％、大阪湾は66.7％、大阪湾を除く瀬戸内海は75.769.6％となっている。,2,数値情報（割合や年度）の修正・更新が行われているため。
12,（2022年）,,11OECD「グローバル・プラスチック・アウトルック:2060年までの政策シナリオ」（2022年）,3,出典の発行年を補完して明記したため。
13,地質時代の区分のうち、人類の活動が地球環境への影響が顕著になった時代区分を切り離して、人類が地,,16地質時代の区分のうち、人類の活動が地球環境への影響が顕著になった時代区分を切り離して、人類が地,6,文章の意味が不完全で、内容の変更が含まれているため。
13,球の生態系や気候に多大な影響を及ぼすようになった時代を地質学的に定義するべきという「人新世」の考えが提唱されていたが、2024年３月の国際地質科学連合の作業部会でその提案は否決された。その背景として、人類が地球に大きな影響を与えたことが否定されたのではなく、人類の地球への影響をより包括的に論じる必要性があるという議論や、地質時代の定義を満たさないという議論もあったとされている。,人類が地球の生態系や気候に多大な影響を及ぼし、地質にも影響を与えていることから、人類の影響を受けた地質年代の区分として提唱されている。,球の生態系や気候に多大な影響を及ぼすようになった時代を地質学的に定義するべきという「人新世」の考えが提唱されていたが、2024年３月の国際地質科学連合の作業部会でその提案は否決された。その背景として、人類が地球に大きな影響を与えたことが否定されたのではなく、人類の地球への影響をより包括的に論じる必要性があるという議論や、地質時代の定義を満たさないという議論もあったとされている。人類が地球の生態系や気候に多大な影響を及ぼし、地質にも影響を与えていることから、人類の影響を受けた地質年代の区分として提唱されている。,6,提案の否決とその背景が追加され、内容が変わっている。
13,同宣言では、,,18同宣言では、「我々は歴史の転回点に到達した。（中略）無知、無関心であるならば、我々は、我々の生命と福祉が依存する地球上の環境に対し、重大かつ取り返しのつかない害を与えることになる。」と記されている。,5,「同宣言では、」の追加は文脈補完で意味に影響しないため。
14,,19,1995（平成７）年版の環境白書は、人類の文明がその文明を支える環境の収容力を突破し、その結果、当時の文明が対応できない程度に環境が変化し、文明が滅んでいった過去の例を教訓としつつ、現代文明の地球的限界と持続可能な社会への転換の必要性を説いていた。我が国における人口減少社会の本格化、世界人口の伸びの鈍化は、環境収容力に向かって人口が収斂し、文明の転換点を迎えていくという歴史的な経験と整合的である19。,5,削除された「19」は文の意味に影響を与えない軽微な変更です。
14,19,平成７年版環境白書,19平成７年版環境白書,5,不要な空白の削除による軽微な変更で意味に影響しない。
15,（平成18年４月７日閣議決定）,,2006（平成18）年に策定された第三次環境基本計画（平成18年４月７日閣議決定）には、「環境先進国」20を目指すことが盛り込まれている。我が国は、これまで、激甚な公害の克服等の経験を踏まえ、海外への技術やノウハウ等の移転、高い環境性能を有する財・サービスの輸出を進めるとともに、諸外国から国内への視察等を数多く受け入れてきた。,3,閣議決定の日付を補完し、出典を明記したため。
16,（平成30年４月17日閣議決定）,,第五次環境基本計画（平成30年４月17日閣議決定）において「我が国は、今、環境・経済・社会に関わる複合的な危機や課題に直面している。」と述べたが、我が国は、引き続きそれらの危機や課題に直面している。,3,閣議決定の日付を補足し、出典を明記したため。
16,「///（2022///年///（令和４年）10///月１日現在///）」,,25総務省「人口推計（2022年（令和４年）10月１日現在）」,3,年号の和暦を追加し、出典情報を補完しているため。
16,（2020年）,,29日本統計協会「日本長期統計総覧」（2020年）によると、1888（明治21）年における一都三県の総人口に占める割合は11.3％に過ぎなかった。,3,出典の補完として「（2020年）」が追加されているため。
16,を用いて算出,,31環境省、（株）価値総合研究所「地域経済循環分析」を用いて算出,6,「を用いて算出」の追加により、算出方法が明示され意味が変わる。
17,地区,地域,33DID：DenselyInhabitedDistricts（人口集中地区地域）とは、統計データに基づいて一定の基準により都市的地域を定めたもので、日本の国勢調査において設定される。,6,「地区」への変更で意味が変わり、内容が異なるため。
17,」（2020///年３月///31///日現在///）、「///」（2015///年３月///31///日現在///））,」、「///」）,が減少している。（国土交通省「令和２年都市計画現況調査」（2020年３月31日現在）、「」、「平成27年都市計画現況調査」（2015年３月31日現在））」）,5,不要な括弧や句読点の削除で、意味に影響しない変更。
17,（国土数値情報「都市地域データ」、国土数値情報「土地利用細分メッシュデータ」）,,35東京23区では、1990年代との比較で建物、道路、鉄道の用地が増加し、水域等の面積が減少した。（国土数値情報「都市地域データ」、国土数値情報「土地利用細分メッシュデータ」）,3,出典情報が追加され、引用・出典の補完が行われたため。
17,ウェブサイト「過去の気象///検索」,。,36気象庁ウェブサイト「過去の気象データ検索」に基づき環境省算出。,[5],句読点の削除と語句の追加は意味に影響しないため。
17,2022年６月）にあるように、「失われた30年」という表現が使われる場合がある。,「失われた30年」という表現が使われる場合がある。令和４年６月）,37「失われた30年」という表現が使われる場合がある。例えば「経済産業省産業構造審議会経済産業政策新機軸部会中間整理」（2022年６月）にあるように、「失われた30年」という表現が使われる場合がある。令和４年６月）,3,西暦「2022年６月」を追加し、出典を補完しているため。
18,12///330,9///340,しかしこの間、我が国の企業は、売上高が伸び悩む中においても経常利益を引上げることに成功してきたが、国内での設備投資や人件費には積極的に支出してこなかった42（海外における投資は活発化したが、その果実が国内に十分に還元していないとの指摘もある。）。企業部門の貯蓄超過は、2000年代以降他の主要国より高い水準で推移し、民間非金融法人企業の現預金は、2023年129月末現在、330340兆円を超えている43。企業経営の合理化の中で進められたこれらの固定費削減は、企業収益の改善に大きな役割を果たしてきたが、イノベーションの停滞、不安定な非正規雇用の増加、格差の固定化懸念44、中間層の減少など新たな課題に直面し、経済の好循環を弱め、国民生活の改善に結び付いていない可能性が指摘されている（個別の企業活動はある意味合理的に行動しているにもかかわらずマクロ経済上の問題を引き起こす、いわゆる「合成の誤謬」が生じていたとされる。）45。,2,数値情報「330340兆円」の修正が行われているため。
18,年次///報告」（2022///年///）,白書」,40IMF-WorldEconomicOutlookDatabases。なお、実質GDPを就業者数×一人当たり労働時間で示されるマクロの総労働時間（マンアワーベースの労働投入量）で割った労働時間当たり実質GDP（時間当たり労働生産性）をみると、アメリカには劣るものの、ドイツやフランスを上回るなど主要先進国と遜色のない伸びとなっている（内閣府「令和４年度年次経済財政報告」（2022年）白書」）。,3,「白書」を「年次経済財政報告」に変更し、正式名称を補完している。
18,報告書」（2023年）,」,41厚生労働省「令和３年所得再分配調査報告書」（2023年）」,5,不要な閉じ括弧の削除で、文の意味に影響しない変更。
18,日本銀行「資金循環統計（速報）（2023年第４四半期）」（2024年3月21日）,,43日本銀行「資金循環統計（速報）（2023年第４四半期）」（2024年3月21日）日本銀行資金循環統計,3,出典情報が追加され、引用の補完が行われたため。
18,（令和５年６月16日 閣議決定）,,45「経済財政運営と改革の基本方針2023」（令和５年６月16日 閣議決定）などを参考,3,出典として「閣議決定」の日付が補完されたため。
18,５年６月中,5年6月中,46令和５年６月中5年6月中央環境審議会総合政策部会（第108回）資料,1,漢数字「５」を半角数字「5」に統一したフォーマットの正規化。
18,内閣府「///報告」（2022///年７月///）,白書,48内閣府「令和４年版経済財政報告」（2022年７月）白書,3,「白書」を「報告」に変更し、正式名称を補完している。
19,引き上げる等の対応を図って,引き上げて,特に、ロシアによるウクライナ侵略により、エネルギー安全保障、食料安全保障、経済安全保障の重要性が再認識され、国際的なエネルギー・資源・食料価格の上昇、供給の途絶・混乱への懸念と、世界及び地域の安定に影響を及ぼすリスクが増大している。ドイツを始め多くの欧州諸国では、そのような状況に対応して、ロシアによるウクライナ侵略後に再生可能エネルギーの導入目標を大幅に引き上げる等の対応を図って引き上げている。,6,「引き上げる等の対応を図って」により具体的な対応策が追加されているため。
19,「,,51「交易条件とは、輸出価格指数を輸入価格指数で除した比率であり、輸入価格に比して輸出価格が上昇,6,文章の意味が未完であり、追加された語句が不明で判断不可。
19,」///「世界経済の潮流」（2011///年///）,,（下落）する場合には交易条件は改善（悪化）し、自国にとって貿易を行うことが有利（不利）となる。」(内閣府「世界経済の潮流」（2011年）),3,出典「内閣府『世界経済の潮流』（2011年）」の補完。
20,（平成６年12月16日閣議決定）,,我が国の世界に占めるGDPの割合は、第一次環境基本計画（平成６年12月16日閣議決定）が策定された1994年の17.9％をピークに近年は５％を下回る水準に低下し、1960年代と同程度である。同じく、我が国の人口の世界に占める割合は、1994年の約,3,閣議決定の日付を補完し、出典を明記したため。
20,林野庁「///」,（林野庁）,"52令和４年の森林蓄積量は、人工林が64％（3,545百万m3）を占めている。（林野庁「森林資源の現況（令和４年３月31日現在）」（林野庁））",3,出典情報「林野庁」が追加され、引用の補完が行われたため。
21,議論を促進する///、///の///等、健康への脅威,考える,2022年２月に始まったロシアのウクライナ侵略は、持続可能な社会の必要性について改めて議論を促進する考える契機となった。例えば、気候変動や生態系の破壊等に伴って、感染症のリスク等、健康への脅威は増大すること等から、地球の健康（地球 環境の健全性）と人の健康は一体不可分であるという「プラネタリー・ヘルス」に関する議論が活発化している。グローバルなサプライチェーンの脆弱性が明らかとなり、本章２（３）でも述べたとおり、サプライチェーンの多様化の動きに加え、食料、エネルギー、重要物資等の持続可能な調達と利用についての重要性が高まっている54。,6,「議論を促進する」追加で意味が変わり、内容に踏み込んでいるため。
21,"（JacquesAttali,「L’Economiedelavie」,2020）",,"54関連して、フランスの経済学者であるジャック・アタリが「命の経済」について提唱している。（JacquesAttali,「L’Economiedelavie」,2020）",3,引用・出典情報が補完され、出典が明記されたため。
21,（令和５年７月28日閣議決定）,,56「脱炭素成長型経済構造移行推進戦略（GX推進戦略）（令和５年７月28日閣議決定）」において「産業革命以来の化石エネルギー中心の産業構造・社会構造をクリーンエネルギー中心へ転換する」と記述されている。,3,閣議決定の日付を追加し、出典を補完しているため。
22,環境省「///６年版///」（1994///年///）,6年版,57「高度成長期は、公害対策基本法（昭和42年法律第132号）における、生活環境の保全に際し、経済の健全な発展との調和を求められる、いわゆる「経済調和条項」（1970年の改正において削除）に代表されるように、国際的にも、国内的にも、経済成長と環境保全とはそれぞれ別個のものであり、相互にトレードオフの関係になるとの捉え方が一般的であった。」（環境省「平成６年版6年版環境白書」（1994年））,3,削除された「6年版」を正式名称「平成６年版」に補完したため。
23,2024///年３月///73///（2024///年３月,2023///年///（令和５年）12///月///74///（///令和５年///11///月,「環境モデル都市宣言」を行うなど、環境を軸としたまちづくりが進められてきたが、第五次環境基本計画策定以後、200に近い自治体・団体が地域循環共生圏づくりに明示的に取り組んでいる。また、2024年３月2023年（令和５年）12月末時点で、1000を超える自治体が2050年に温室効果ガス又はCO₂の排出量実質ゼロを目指す、いわゆる「ゼロカーボンシティ」を宣言しているほか、73（2024年３月74（令和５年11月現在）の脱炭素先行地域を始め脱炭素や環境保全の取組を地域の経済の再生などの課題解決に結びつける動きが加速化している。,2,年号や統計値が2023年から2024年に更新されているため。
23,以下「///」という。,,これに加え、ライフスタイルや文化も環境に配慮した形への変化が見られる。例えば、2018年の国連気候変動枠組条約第24回締約国会議（以下「COP24」という。）では、ファッション業界気候行動憲章が採択された。,3,COP24の正式名称を補完しているため。
23,我が国でも訴訟が提起さ,,さらに、環境問題を人権問題として捉える考え方も浸透してきた。2022年７月の国連総会において「クリーンで健康かつ持続可能な環境に対する人権」に関する決議62が161カ国の賛成で採択された63。また、国際的にいわゆる「人権・環境デュー・ディリジェンス」64の重要性が増してきており、脆弱な人々への配慮や世代間衡平性等を重視する「環境正義」「気候正義」の重要性が高まってきている。加えて、世界で気候変動関連訴訟が2000年代半ばから増え始め、パリ協定採択後に我が国でも訴訟が提起さ,6,訴訟の提起に関する情報が追加され、内容が変化しているため。
24,れるなど,,れるなど更に増加傾向にあり65、現在は、年間200件近い訴訟が新たに提起されている,5,「れるなど」の追加は文の意味に影響しない軽微な変更です。
24,67,,これまで見てきたように、第一次環境基本計画策定後の約30年間の我が国の環境・経済・社会の状況は、必ずしも大多数の国民が希望を持ち続けることができる状況とは言い切れなかった。近年、ウェルビーイング（Well-being）の考え方が注目を集めているが、幸福度を比較すると、我が国は先進国の中でも最も低い水準が続いている67ほか、生活が苦しいと意識している世帯の割合は約半数となっている68。また、諸外国に比べ、自分の将来に明るい希望を持てていない若者が多いという調査結果がある69。,3,追加された「67」は出典や注釈の補完と考えられるため。
24,（平成12年12月22日閣議決定）,,第二次環境基本計画（平成12年12月22日閣議決定）から、環境・経済・社会の統合的な向上を図る旨を明記していた。今後起こり得る様々な変化に対応しながら、環境・経済・社会に関わる複合的な危機や課題に対処し、持続可能な社会の実現を目指すに当たっては、この概念は以前にも増して重要となる。さらに、人類の存続の基盤を損なうおそれもある現下の環境危機を踏まえるならば、国民が不安から解放され、将来に希望が持てるよう、環境・経済・社会の統合的向上を次なるステップに進める、すなわち、経済、社会の基盤である環境を軸に据えた統合的向上へと高度化し、環境危機の回避とそのための行動をいわば梃子・牽引役にした経済・社会的課題の同時解決が求められる。,3,閣議決定の日付を明記し、出典を補完しているため。
24,"UNEP///and///the///Sabin///Center///for///Climate///Change///Law///at///Columbia///University,///「///」",",2023. “GlobalTrendsinClimateLitigation”","66UNEPandtheSabinCenterforClimateChangeLawatColumbiaUniversity,「GlobalClimateLitigationReport:2023StatusReview」,2023. “GlobalTrendsinClimateLitigation”",3,出典の補完として、正式名称が追加されているため。
24,」（令和2年）「2022（令和４）年国民生活基礎調査の概況」。,」、「国民生活基礎調査」。,68厚生労働省「令和2年版厚生労働白書」（令和2年）「2022（令和４）年国民生活基礎調査の概況」。」、「国民生活基礎調査」。近年は改善傾向にある。,3,出典の補完として「2022年国民生活基礎調査の概況」が追加されたため。
24,」（2019年６月）,」,69内閣府「我が国と諸外国の若者の意識に関する調査」（平成30年度）」（2019年６月）,3,出典の補完として「（2019年６月）」が追加されたため。
25,経済企画庁「///年度年次経済報告」（2000///７月）///、,2000///（///）,71関連して、経済企画庁「2000（平成12年度年次経済報告」（2000）年７月）の経済白書では、「より根本,5,不要な括弧やスラッシュの削除による軽微な変更。
25,英国財///務省///2021///年,英国財務省,72例えば、Ｇ７財務大臣・中央銀行総裁声明（2023）において、「我々の経済・社会構造は、ダイナミックかつ根本的な変容を遂げている。デジタル化、特に気候変動といった持続可能性、不平等、ジェンダーや多様性は、GDPのような集計された単一の指標では十分に捉えられない、ウェルフェアの重要な要素のほんの一例にすぎない。我々の会議において、ジョセフ・E・スティグリッツ教授との対話を通じて、この重要な課題を再検討し、ウェルフェアの多元的な側面を強調した。」とある。また、ストックを評価できるものとして、人工資本、人的資本、自然資本の合計値を「包括的な富」として示す考え方が国連で提唱され、英国財務省「生物多様性の経済学：ダスグプタ・レビュー」（2021年英国財務省）などでその重要性が指摘されている。,3,出典の年号を補完し、情報を明確にしたため。
26,，1987,,75ブルントラント委員会報告書（OurCommonFuture，1987）は、「持続可能な開発」を「将来の世代のニーズを満たしつつ、現在の世代のニーズも満足させること」と定義している。,3,報告書の発行年を補完し、出典情報を明確にしたため。
27,以下「///」という。///以下「///」という。,,地球環境問題は、一国で解決できない人類共通の課題であり、各国が協力して取り組むべき問題である。逆に、各国の協力なくして自国の環境は保全できず、自国の国民の生命と財産は守れない。1980年代以降、国連気候変動枠組条約（1992年）や生物多様性条約（1992年）など地球環境保全に係る国際枠組みは様々な分野で急速に整備されていった76。さらに、1997年12月に京都で開催された国連気候変動枠組条約第３回締約国会議（以下「COP３」という。）において「京都議定書」が採択され、当時世界の温室効果ガス排出量の過半77を占めていた各先進国に対して拘束力のある温室効果ガス削減義務を課すなど具体の削減行動についての重要な一歩となった78が、開発途上国に対しては削減義務を課さない等の課題も残った。また、生物多様性条約の下では、2010年の生物多様性条約第10回締約国会議（以下「COP10」という。）において、2020年までに生物多様性の損失を止めるために効果的かつ緊急な行動を実施することに合意し、その具体的な行動目標として愛知目標が設定されるとともに、遺伝資源の利用から生ずる利益の公正かつ衡平な配分の着実な実施を確保するための手続きを定めた名古屋議定書が採択された。,3,「以下「///」という。」は略語の補足説明に該当するため。
27,、1989年に有害廃棄物の国境を越える移動及びその処分の規制に関するバーゼル条約、1991年に環境保護に関する南極条約議定書 、1994年に砂漠化対処条約、1998年に国際貿易の対象となる特定の有害な化学物質及び駆除材についての事前のかつ情報に基づく同意の手続に関するロッテルダム条約、2000年に生物の多様性に関する条約のバイオセーフティに関するカルタヘナ議定書、2001年に残留性有機汚染物質に関するストックホルム条約等が整備された。,各種条約を記述（///など）,76各種条約を記述（1985年にオゾン層保護のためのウィーン条約、1987年に同条約の下でのオゾン層を破壊する物質に関するモントリオール議定書、1989年に有害廃棄物の国境を越える移動及びその処分の規制に関するバーゼル条約、1991年に環境保護に関する南極条約議定書 、1994年に砂漠化対処条約、1998年に国際貿易の対象となる特定の有害な化学物質及び駆除材についての事前のかつ情報に基づく同意の手続に関するロッテルダム条約、2000年に生物の多様性に関する条約のバイオセーフティに関するカルタヘナ議定書、2001年に残留性有機汚染物質に関するストックホルム条約等が整備された。など）,6,条約名の追加により、情報が具体的かつ詳細になったため。
27,第一,第１,78第一第１約束期間は、加盟していた我が国を含む23カ国すべてが削減目標を達成した（途中で脱退したカナダを除く。）。また、IPCC第４次評価報告書政策決定者向け要約では、「気候変動枠組条約及びその京都議定書の注目すべき功績は、気候問題への世界的な対応を確立し、一連の国内政策を推進し、国際的な炭素市場を創設し、さらに将来的な緩和努力の基礎となる可能性がある新しい制度的仕組みを構築したことであり、このことについての意見の一致度は高く、多くの証拠がある。」と記述している。,1,「第一」と「第１」の表記を統一するための変更。
28,以下「///」とい///う。,,IPCCからは、2018年に「1.5℃特別報告書」が公表され、1.5℃と２℃の地球温暖化の間には、平均気温の上昇、極端な高温の増加、強い降水現象の増加、並びに一部の地域における干ばつの確率の上昇等において有意な違いがあること、1.5℃に抑える排出経路においては、2050年前後に世界全体の人為的なCO2排出量が正味ゼロに達することが示された。さらに、国連気候変動枠組条約第26回締約国会議（以下「COP26」という。）では、気候変動の影響は、1.5℃の気温上昇の方が２℃の気温上昇に比べてはるかに小さいことを認め、気温上昇を1.5℃に制限するための努力を継続することが決定された。,[3],略称「COP26」に正式名称を補足しているため。
29,脱炭素・低炭素技術の促進、,,2023年のCOP28においては、パリ協定の下で世界全体の気候変動対策の進捗状況を評価するグローバル・ストックテイクが初めて行われ、1.5℃目標達成のための緊急的な行動の必要性が強調されるとともに、2025年までの世界全体の排出量のピークアウトの必要性が認識された。そのための具体的な行動として、全ての部門・全ての温室効果ガスを対象とした排出削減目標の策定、2030年までに世界全体での再生可能エネルギー発電容量を３倍及びエネルギー効率の改善率を世界平均で２倍とすること、排出削減対策が講じられていない石炭火力発電のフェーズダウンの加速、エネルギーシステムにおける化石燃料からの移行、脱炭素・低炭素技術の促進、持続可能なライフスタイルと持続可能な消費・生産パターンへの移行などが決定された。これらの成果を踏まえつつ、各国は2025年までに次期NDCを提出することが要請されている。,6,「脱炭素・低炭素技術の促進」の追加で内容が具体化されたため。
31,している。近年では///１月に、///について世界保健機構（WHO）///より,し///以降、///世界は,地球規模での森林開発や気候変動等により動物等を媒介とする感染症のリスクが増大し、また、グローバリゼーションの進展等により、人獣共通感染症等が国境を越えて国際社会全体に拡大する事態が発生している。近年ではし、2020年１月に、以降、世界は新型コロナウイルス感染症のパンデミックについて世界保健機構（WHO）より,6,WHOによるパンデミックの宣言を示し、意味が変わっている。
31,「国際的に懸念される公衆衛生上の緊急事態///（PH///E///IC///）///」が宣言されている。加えて///人,とい///う危機に直面している。また///人間,「国際的に懸念される公衆衛生上の緊急事態（PHEIC）」が宣言されている。加えてという危機に直面している。また、これらの感染症は、人の健康や社会経済活動のみならず、生物多様性保全にも大きな影響を及ぼすおそれがある84。こうした問題の解決に向けて、人人間の健康、動物の健康、環境の健全性はどれが欠けても成立せず、これらの達成に統合的に取り組むことを提案するワンヘルス・アプローチが提唱されている。,6,「人」と「人間」の変更は意味に影響を与えるため。
31,2024///2024///（化石資源、鉱物、非金属鉱物、バイオマス）///及び関連する土地利用///および生物多様性への影響は、気候変動を1.5℃未満に抑制し生物多様性の損失を防ぐ///という目標をはるかに超過していると指摘されている,2019///2019///約３分の１を占めていると報告///されている87,国際資源パネル（IRP）が20242019年に発行した「世界資源アウトルック20242019」報告書において、資源採取と加工による環境影響が明確に示された。グローバルな環境影響として、天然資源（化石資源、鉱物、非金属鉱物、バイオマス）の採取と材料・燃料・食料への加工及び関連する土地利用は、全世界のGHG排出量（土地利用に関連する気候影響を除く）の55％以上85約半分、生物多様性の損失と水ストレスの要因の90％以上、粒子状物質の健康影響の40％を占めており86、これら採取・加工による気候および生物多様性への影響は、気候変動を1.5℃未満に抑制し生物多様性の損失を防ぐという目標をはるかに超過していると指摘されている約３分の１を占めていると報告されている87。,6,内容が「目標を超過」と「約3分の1を占める」で異なるため。
