id,comment,reply,該当変更点情報
11,本案では「我が国は、1.5℃目標と整合的な形で、「2050  年カーボンニュートラル」「2030  年度 46％削減、さらに 50％の高みに向けて挑戦を続ける」という目標を掲げており」とあるが、2030年度に 2013 年度比 46～50％削減、2050 年カーボンニュートラルでは 1.5℃目標に整合的な形とは言えない。1.5℃目標に整合する目標としては、少なくとも 2030 年に 60％以上の削減が求められ、国連からは先進国は 2040 年までのカーボンニュートラル達成が必要だとされている。今後、 NDC  の検討にあたって、1.5℃目標と整合する目標への見直し議論を念頭に表現を改めるべきである。,"環境基本計画は、国の環境政策について総合的かつ長期的な施策の方針を定めるものであり、個別施策の具体的な数値目標は各個別の計画と併せて検討するものです。我が国は、現在、パリ協定の 1.5 度目標と整合的な形で、2050 年カーボンニュートラルとともに、2030 年度に 2013 年度比 46%削減、さらに 50%の高みに向けた挑戦の継続という目標を掲げており、まずは、この⽬標の達成に向けて、⾜下の取組を着実に進めていきます。その上で、次期 NDC については、IPCC による科学的知見や排出削減の実績等を踏まえつつ、関係省庁が連携してしっかりと検討していきます。
以上のことから、原案のとおりとさせていただきます。",該当変更点: 該当なし
12,"Ｇ７広島首脳コミュニケ(2023 年)で、「我々は、2035 年までに電力セクターの完全又は大宗の脱炭素化の達成・・・した形で、国内の排出削減対策が講じられていない石炭火力発電のフェーズアウトを加速する・・・」「我々は、・・・2050 年までにエネルギー・システムにおけるネット・ゼロを達成するために、排出削減対策が講じられていない化石燃料のフェ－ズアウトを加速させる・・・」と約束した。 (p26)
COP28(2023 年)でも、「排出削減対策が講じられていない石炭火力発電のフェーズアウトの加速、エネルギー・システムにおける化石燃料からの移行、・・・」などが決議された。(p27)
これらの一連の国際的取り決めの中で、「石炭火力発電のフェーズアウト」の形容詞として「排出削減対策が講じられていない」を付けるように強く要求したのが日本だけだったことは広く知られる。しかし、2030 年代になって石炭混焼技術の実用化を目指すというのでは、「2035 年までに電力セクターの完全な脱炭素化の達成」はもとより、本計画案の「はじめに」でも強調される「勝負の10 年」(p4)に対応しえないことは明らかではないだろうか。COP28 も含めて毎回の COP で、日本は国際環境 NGO から不名誉な「化石賞」を受賞してきたことも周知の通りである。将来に実現しようとする技術の採用をあてにして現在のままに石炭火力発電を延命させるなら、「グリーンウォッシュ」との国際的な厳しい批判をこれから先々も免れることはできないと思われる。
この点で、本計画案では「「経路依存症」「イノベーションのジレンマ」のように、供給者が持つ現状のシーズ、強みに過度にこだわる・・・」(p41)ことを批判しており、誠にその通りだと合点する。
日本が主張する「排出削減対策が講じられていない」という形容詞を付けることで国際的に強い懸念を持たれているという現状は、日本として不都合であるが確かな事実として認識していることを何らかの形で付言しておく必要があると思う。でなければ、気候問題に敏感な海外の読者には、誠に”能天気”な政府の計画だと映ることにもなりかねない。",現在、我が国においては、再生可能エネルギーなどの脱炭素効果の高い電源を最大限活用する中で、石炭火力については、安定供給を大前提に、いたずらに延命させず、できる限り発電比率を引き下げていく方針です。いただいたご意見は今後の施策の参考とさせていただきます。,"該当変更点:
- 変更ID: 64
  理由: 石炭火力発電のフェーズダウンに関する記述があるため。"
13,石炭火力発電所は、CO2 を大量に排出することから、早期に利用を停止するよう期限を区切る必要がある。,現在、我が国においては、再生可能エネルギーなどの脱炭素効果の高い電源を最大限活用する中で、石炭火力については、安定供給を大前提に、いたずらに延命させず、できる限り発電比率を引き下げていく方針です。いただいたご意見は今後の施策の参考とさせていただきます。,"該当変更点:
- 変更ID: 64
  理由: 石炭火力発電のフェーズダウンに関連する内容が含まれている。"
14,"脱炭素の目標・GX 法の成立は、原子力発電（核発電）を利活用する理由にはなりませんし、するべきでありません。どんな技術・プラントでも、「絶対安全」は無く、想定外は常に有り得ます。万一、シビアアクシデントが起これば大量の放射性物質が放出され、環境が破壊され、国土が事実上使用できなくなり、国民（人）の営みを意図せずに不可逆的に変えてしまうことは、東京電力・福島第一原子力発電が増え続ける」「働く人の健康が被曝によって脅かされる」のは避けられません。現在・未来の環境を守り、意見を表明できない次世代へ後始末を押しつけず、働く人を守るという観点から、「核技術を動
力源・エネルギー源としては用いない」ことを明記すべきです。
所事故で十分すぎるほど実証されています。又、原発が事故を起こさなかったとしても、「環境中に元々存在する量を超える放射性物質が意図的に放出される」「使用済み核燃料を始めとする核のゴミ","原子力については、これまでの政府の方針等も踏まえて記述しており、いただいたご意見は今後の施策の参考とさせていただきます。
化学物質については、環境中では容易に分解せず、生物の体内に蓄積しやすく、人への長期毒性又は動植物への毒性を有する化学物質が環境汚染を通じて被害を及ぼすことを防止するため、化学物質の審査及び製造等の規制に関する法律により規制を行っており、引き続きこれらの取組を実施してまいります。",該当変更点: 該当なし
15,"エネルギー源・動力源は「風力・太陽熱など加工せずに活用できるものを選ぶ」「省エネ・高効率化の推
進」「蓄電池の低廉化の推進」など、核技術を用いずともできることにあらゆるリソースを動員すべきです。環境中で分解しない化学物質の使用抑制・禁止、代替品や物質の開発や普及等についても同様
です。それこそが「未来志向」「希望が持てる３０年」の環境基本計画なのではありませんか。","原子力については、これまでの政府の方針等も踏まえて記述しており、いただいたご意見は今後の施策の参考とさせていただきます。
化学物質については、環境中では容易に分解せず、生物の体内に蓄積しやすく、人への長期毒性又は動植物への毒性を有する化学物質が環境汚染を通じて被害を及ぼすことを防止するため、化学物質の審査及び製造等の規制に関する法律により規制を行っており、引き続きこれらの取組を実施してまいります。",該当変更点: 該当なし
16,"東日本大震災時の東電福島第一原発の大事故は、日本の原発史上誠に不幸な大事件であり、世界の原発事故史上でも最悪の厳しい事件であった。p35 で事故発生後に行われた被災地域の環境再生の取組みと避難指示解除策等、そして今後の未来志向の取組みの推進の必要が述べられる。一方、第 3 章の p49 では「環境政策の原則・手法」における「予防的取組み方法」として、「問題の発生の要因やそれに伴う被害の影響の評価、又は施策の立案・実施においては・・・「予防的な取組みの方法」の考え方に基づいて対策を講じていくべきである。」として、的確な原則的手法を論じており、その通りだと思う。  原発は極めて高い放射性物質を燃料とし、核分裂反応によりさらに高い放射性物質を副生することから本来的に優れて高度の安全確保が求められ、ひとたび事故が発生するならば極めて深刻かつ広域の放射能汚染を招くので、いわば最大の産業公害（という視点が日本では弱いが）を発生させるものであり、比類のない広範な地域の環境汚染を引き起こす。
現状の行政の所掌区分では原発事故の発生後の地域環境対応と再生事業だけを環境省が所管として担うことから、従来の環境基本計画を踏襲する記述となることは致し方ないかもしれない。しかし、原発事故発生の事後対策は原発総体の管理・運営の一環であり、製品の LCA 解析の視点と同様に捉えるべきとの基本的観点からすれば、何とも受けとめにくい、歯がゆい記述となっている。また 3・11事故後に改組・強化された原子力規制委員会が環境省所管となったことからも、これにも対応した書きぶりが求められるのではないか。
原発の LCA、つまりウラン鉱石の採掘と燃料加工から燃焼・稼働、使用済み燃料の再処理、廃棄に至るまでの全工程にわたる安全管理と環境対応、そして「予防的な取組み」がラフにでも示されるなら、読み手の国民としては納得がいくと思われる。","原子力については、これまでの政府の方針等も踏まえて記述しており、いただいたご意見は今後の施策の参考とさせていただきます。
化学物質については、環境中では容易に分解せず、生物の体内に蓄積しやすく、人への長期毒性又は動植物への毒性を有する化学物質が環境汚染を通じて被害を及ぼすことを防止するため、化学物質の審査及び製造等の規制に関する法律により規制を行っており、引き続きこれらの取組を実施してまいります。","該当変更点:
- 変更ID: 87
  理由: 東京電力福島第一原発事故に関する記述の追加
- 変更ID: 157
  理由: 東京電力福島第一原発事故からの復興に関する記述の追加"
17,・原子力発電は廃止してください。地震など自然災害国日本では、放射能汚染のリスクが高すぎます。どう考えてもリスクも費用も高すぎる。,"原子力については、これまでの政府の方針等も踏まえて記述しており、いただいたご意見は今後の施策の参考とさせていただきます。
化学物質については、環境中では容易に分解せず、生物の体内に蓄積しやすく、人への長期毒性又は動植物への毒性を有する化学物質が環境汚染を通じて被害を及ぼすことを防止するため、化学物質の審査及び製造等の規制に関する法律により規制を行っており、引き続きこれらの取組を実施してまいります。",該当変更点: 該当なし
18,○全体：放射性物質汚染による被害への対策の記述が前回の案より増えたことを歓迎します。しかし、今後の放射性物質の汚染リスクを予防する観点についての対策は全体を通して記載されていないので、原子力発電や核施設の増設や稼働の回避や抑制する対策について記載する必要があります。,"原子力については、これまでの政府の方針等も踏まえて記述しており、いただいたご意見は今後の施策の参考とさせていただきます。
化学物質については、環境中では容易に分解せず、生物の体内に蓄積しやすく、人への長期毒性又は動植物への毒性を有する化学物質が環境汚染を通じて被害を及ぼすことを防止するため、化学物質の審査及び製造等の規制に関する法律により規制を行っており、引き続きこれらの取組を実施してまいります。","該当変更点:
- 変更ID: 208
  理由: 放射性物質汚染対処特措法に関する記述が追加されている。
- 変更ID: 209
  理由: 福島県外での最終処分に向けた取組についての記述が追加されている。"
19,"1-1.該当箇所１
１）P35 15 行目から 18 行目
「(9)東日本大震災・原発事故
＜中略＞
なお、社会活動の基盤であるエネルギーの確保、安定供給については、東日本大震災を経て自立・分散型エネルギーシステムの有効性が認識されており、エネルギー利用の効率化の推進とともに、地域に賦存する再生可能エネルギーの活用、資源の循環利用が重要である。」
２）P80 1 行目から 13 行目
「（2）自立・分散型の国土構造の推進
＜中略＞
自立・分散型の国土構造の推進近年の気象災害等の頻発に対するレジリエンス強化や、近年のコロナ禍による社会生活の変化等により、自立・分散型社会の実現に対する社会的要請が高まっている。そのためには、地域が主体性を発揮して、自らの強みである自然資本を生かし、魅力ある地域づくりを進めることが重要である。環境の観点からは、地域における再生可能エネルギー等の自立・分散型エネルギーの導入や、社会資本の老朽化への対応として、防災対策と生物多様性の保全が調和した持続可能な社会を形成する取組を進めていくことが重要である。」
３）P178 27 行目から 34 行目
「（3）持続可能な地域づくりのための地域資源の活用と地域間の交流等の促進
＜中略＞
Ａ．地域資源の保全・活用と地域間の交流等の促進
社会活動の基盤であるエネルギーの確保については、東日本大震災を経て自立・分散型エネルギーシステムの有効性が認識されたことを踏まえ、モデル事業の実施等を通じて、地域に賦存する再生可能エネルギーの活用、資源の循環利用を進める。なお、これらの再生可能エネルギーの導入にあたっては、景観や生態系、温泉等の自然資本への影響を回避・低減した上で、地域における円滑な合意形成が必要となるため、科学的データの収集・調査等を通じた地域共生型の資源・エネルギーの活用を推進する。」
1-2.意見
1) 自立・分散型エネルギーの定義を明確にしていただきたい。
2) 内閣官房の国土強靭化基本計画、経済産業省のエネルギー基本計画と歩調を合わせ、再生可能エネルギーに限らず、コージェネや燃料電池、蓄電池、水素エネルギーや廃棄物発電など様々な自立・分散型エネルギーの導入促進を包含していただきたい。
1-3.理由
エネルギー基本計画での分散型エネルギーリソースの定義、国土強靭化基本計画における自立・分散型エネルギーの導入促進を図る記述は以下の通りである。各府省庁で政策の整合性を図る観点から、再生可能エネルギーだけでなく、省エネに貢献するコージェネや再エネの余剰電力を有効活用する蓄電池、水電解装置を利用した水素など、様々な先進技術を活用することが、カーボンニュートラル実現に必要である。
出典 1（経済産業省、エネルギー基本計画）の P25 記述
「分散型エネルギーリソースは、変動型再生可能エネルギーやコージェネレーション、燃料電池  等の発電設備、蓄電池等の蓄エネ設備、大規模工場や水電解装置等の需要設備に大別され、その  規模も小規模から大規模設備まで様々である。」
出典 2（内閣官房、国土強靭化基本計画の変更について）の P50 記述
「（４）エネルギー
＜中略＞
②省エネルギーの促進を図るとともに、コージェネレーション、バイオマスや農山漁村にある水・土地等の資源を活用した再生可能エネルギー、水素エネルギー、LP  ガス、廃棄物処理時の排熱、燃料電池、蓄電池、廃棄物発電の普及・活用、マイ クログリッドの構築、アグリゲーションビジネスの促進等により、スマートコミ ュニティの形成や、地域、ビル、病院、避難所、各家庭等における自立・分散型  エネルギーの導入促進を図る。さらに、メタンハイドレートや地熱利用の商用化  に係る調査・研究、カーボンニュートラルポート（CNP）の形成促進、カーボンリ サイクル燃料の社会実装に係る環境整備等を通じ、活用可能なエネルギーの多様 化と供給源の分散化を図る。」
◆出典 1 の URL︓
経済産業省、エネルギー基本計画、令和 3 年 10 月
https://www.meti.go.jp/press/2021/10/20211022005/20211022005-1.pdf
◆出典 2 の URL︓
内閣官房、国土強靭化基本計画の変更について、令和 5 年 7 月 28 日
https://www.cas.go.jp/jp/seisaku/kokudo_kyoujinka/pdf/kk-honbun- r057028.pd",自立・分散型エネルギーの定義については、エネルギー基本計画等と同様のため、「自立・分散型エネルギー」には、コージェネレーションや燃料電池、蓄電池、水素エネルギーや廃棄物発電等が含まれることから、原案のとおりとさせていただきます。,"該当変更点:
- 変更ID: 91
  理由: 「再生可能エネルギー等の活用」の追加がコメントに関連
- 変更ID: 121
  理由: 「自立分散型の再生可能エネルギーの導入」に関連
- 変更ID: 128
  理由: 「水素等の供給及び利用の促進」に関連"
20,温暖化や炭素排出に関しては、合計して国としてみると世界第４位にもなる『軍事関連  CO2』の記載が無い。ロシアのウクライナ侵攻もイスラエルのパレスチナガザ地区攻撃も、森を焼き、建物を破壊し、使用された武器の製造、運搬で膨大な量の CO2  排出となっている。もっと触れるべきであり、軍需利益を追求する国際社会の経済構造に対するアプローチも盛り込むべき。,P7 において、ロシアのウクライナ侵略を例に、「環境も含めた破壊的影響」と記述しております。ご意見は今後の施策の参考にさせていただきます。,"該当変更点:
- 変更ID: 2
  理由: ガザ地区における軍事行動が追加され、コメントに関連。"
21,「生物多様性の確保・自然共生」について、ネイチャーポジティブが叫ばれてから久しいですが、未だ企業の再エネ開発や工場誘致などにおいて自然破壊が続いており、自治体の公園開発などでも生物多様性の配慮に欠けた事例が散見されます。企業においても生物多様性への”配慮”が求められている中で、”配慮”をしているといいながら、「脱炭素のため」などという名目で山を切り開くメガソーラーや陸上風力の開発が進められています。地域での反対も起こっていますが、基本的には自治体がそういった開発を制限し、そもそも許可を与えないことが重要と思います。農水省が全ての補助金に環境配慮を求めることとなりました。環境省においても「脱炭素」という名目であっても自然破壊を伴う事業には規制をかけていただきたいです。ネイチャーポジティブを目指す OECM も良いですが、山地でのメガソーラーを一件許せばそれまで積み上げてきた  OECM の面積分くらい潰れることとなります。日本のトータルでネイチャーポジティブを実現するためにも環境基本計画にて開発の制限を明記いただき、地域の自然を守るべき立場となる自治体担当局が開発制限を事業者に示す拠り所とできる指針を提示頂きたいです。,"再生可能エネルギーの導入は自然と共生するものであることが大前提であり、地域の自然の恵みを損なうことなく地域の合意形成を図りつつ、地域共生型の再生可能エネルギーの積極的な導入を目指す必要があると考えています。御指摘の気候変動対策と生物多様性保全のトレードオフの回避・最小化については、第 2 部第 2 章１（１）トレードオフの回避とシナジーの発揮による再生可能エネルギーの導入環境の整備）において記述しているとおりです。
環境基本計画は、国の環境政策について総合的かつ長期的な施策の方針を定めるものです。地方公共団体には、環境基本計画に示された国の方針に沿いながら、地域の自然的社会的条件に応じて、国の政策等との連携を図りつつ、環境保全を総合的かつ計画的に進めることが期待されており、個別の開発事業への対応については、上記の考えに基づき各地方公共団体において適切に判断されるものと認識しています。
いただいた御意見については、今後の施策の参考とさせていただきます。",該当変更点: 該当なし
22,"・再開発の名の下に日本各地で樹木の伐採が進んでますが、温暖化対策にもなる樹木は伐採しないでください。
・また、再開発の名の下に、改装で対応できる建物の建て替えが進んでますが、建設廃棄物は最大のごみで汚染物質なので、なるべく出さない方法でこれからはやっていく方針を取り入れてください。",ご意見は、今後の施策の参考とさせていただきます。,該当変更点: 該当なし
23,"2023 年に閣議決定された生物多様性国家戦略 2023-2030 では、「国は、生物多様性に係る取組全体を底上げするため、生物多様性の保全及び持続可能な施策を実施するため必要な法制上、財政上又は税制上の措置その他の措置を講ずる。具体的には、本戦略に記載されている国主体の生物多様性保全の取組について、必要な法改正や予算確保等により実施していくとともに、民間資金の導入を促進する」（48-49 ページ）や、「また、国は、各主体がそれぞれ期待される役割を果たすことができるよう、情報の提供や技術的・予算的な支援を行っていく」（59 ページ）、「生物多様性の保全のためには、愛知目標下での取組の教訓も活かしつつ、効果的・選択的に資源を動員し生物多様性に係る取組全体を底上げする必要がある。そのため必要な予算を確保するとともに、民間資金も含めたあらゆる資源の導入を促進し、国や地方公共団体、民間が主体となって行う保全の取組を財政的に後押しする」（162 ページ）等のように、生物多様性保全のために国が予算確保を行う文言が盛り込まれている。また「絶滅のおそれのある野生動植物の種の保存に関する法律の一部を改正する法律案に対する附帯決議」（第 193 回国会閣法第 33 号附帯決議）でも、「八 生物多様性基本法第八条を踏まえ、希少野生動植物種の保存のため、地方自治体への支援を含め、財政上、税制上その他の措置を講ずること」が定められている。
しかし、この第六次環境基本計画では、民間資金の導入が掲げられるのみで、国による予算の確保については触れられておらず、国会での決議や閣議決定された法定計画と整合しない内容になっている。
環境省のアクティブレンジャーや希少種保護増殖等専門員等は、高度な専門技術を要する職であり、生物多様性保全の現場では欠かせない人員でありながら、任期付きの不安定な立場であり、給与もその専門性を反映したものにはなってはいない。希少種の保全そのものに向けられている予算もじゅうぶんなものではない。実際、国内希少野生動植物種の指定種数に対して、必ずしも保護増殖事業計画の策定数は増えていないことは、環境省も自らの資料中で認めるところである。
本計画中にも国による予算や人員を確保し、必要な施策を全うすることを明記すべきである。",いただいたご意見は今後の施策の参考とさせていただき、引き続き各種施策の予算・体制の確保に努めてまいります。,該当変更点: 該当なし
24,○全体：化学物質関連の記述が前回の案よりも拡充されたことを歓迎します。,P163  L39-40 等において、「極めて深刻な環境影響等が懸念される問題については、科学的に不確実であることをもって対策を遅らせる理由とはせず、科学的知見の充実に努めながら、予防的な対策を講じる」としており、予防的な取組方法の考え方を活用し、政策を推進してまいります。,"該当変更点:
- 変更ID: 77
  理由: 化学物質や廃棄物の悪影響からの解放に関する記述があるため。"
